,Paradiso,Parafrasi
4461,che ’ miei di rimirar fé più ardenti.,che rese il mio ancor più fervente nella contemplazione.
4462,"Affetto al suo piacer, quel contemplante","Rivolto con amore alla Vergine, fonte della sua"
4463,"libero officio di dottore assunse,","beatitudine, quello spirito contemplante si assunse"
4464,e cominciò queste parole sante:,"liberamente il compito di mio maestro, e iniziò parlando "
4465,"«La piaga che Maria richiuse e unse,",così santamente: «La ferita che Maria medicò  
4466,quella ch’è tanto bella da’ suoi piedi,"e guarì , è quella donna tanto bella ai  "
4467,è colei che l’aperse e che la punse.,suoi piedi che la provocò  e l’aprì .
4468,"Ne l’ordine che fanno i terzi sedi,","Nel terzo scalino  poi composto di seggi, "
4469,siede Rachel di sotto da costei,"proprio sotto a quella è assisa Rachele,"
4470,"con Bëatrice, sì come tu vedi.","insieme a Beatrice, come puoi ben vedere. "
4471,"Sarra e Rebecca, Iudìt e colei","Sara, Rebecca, Giuditta e Ruth, la bisavola di colui"
4472,che fu bisava al cantor che per doglia,che per il dolore del peccato commesso cantò 
4473,"del fallo disse ‘Miserere mei’,","Miserere mei, tu le puoi vedere disposte "
4474,puoi tu veder così di soglia in soglia,"una sotto l’altra  di gradino in gradino, "
4475,"giù digradar, com’ io ch’a proprio nome",così come io te le indico con il loro nome scendendo 
4476,vo per la rosa giù di foglia in foglia.,di petalo in petalo per questa rosa santa.
4477,"E dal settimo grado in giù, sì come","E dal settimo gradino in giù, come dal primo"
4478,"infino ad esso, succedono Ebree,","fino a esso, si susseguono altre antiche donne ebree,"
4479,dirimendo del fior tutte le chiome;,così separando tutti i petali  di questa beata rosa;
4480,"perché, secondo lo sguardo che fée",giacché esse costituiscono la linea secondo
4481,"la fede in Cristo, queste sono il muro","la quale si dividono questi santi scalini, a seconda"
4482,a che si parton le sacre scalee.,di come la fede dei beati si rivolse  a Cristo.
4483,Da questa parte onde ’l fiore è maturo,Dalla parte nella quale la rosa è completa 
4484,"di tutte le sue foglie, sono assisi","in tutti i suoi petali, sono seduti coloro"
4485,quei che credettero in Cristo venturo;,che ebbero fede nella venuta di Cristo; 
4486,da l’altra parte onde sono intercisi,"dall’altra parte, in cui i gradini a semicerchio sono inframmezzati  "
4487,"di vòti i semicirculi, si stanno","da seggi vuoti, siedono coloro che si rivolsero "
4488,quei ch’a Cristo venuto ebber li visi.,a Cristo dopo la sua venuta in terra.
4489,E come quinci il glorïoso scanno,E come su questo lato il seggio glorioso della 
4490,de la donna del cielo e li altri scanni,"Vergine, signora del cielo, e gli altri seggi posti"
4491,"di sotto lui cotanta cerna fanno,",sotto di esso creano una distinzione  tanto
4492,"così di contra quel del gran Giovanni,","importante, così di fronte il seggio del sommo Giovanni Battista,"
4493,che sempre santo ’l diserto e ’l martiro,"che sopportò le pene del deserto e del martirio restando puro,"
4494,"sofferse, e poi l’inferno da due anni;",e dopo la morte anche due anni d’Inferno; 
4495,e sotto lui così cerner sortiro,"e sotto di lui i santi Francesco, Benedetto e Agostino, "
4496,"Francesco, Benedetto e Augustino","e altri santi posti in discesa fin quaggiù di scalino in scalino,"
4497,e altri fin qua giù di giro in giro.,ebbero in sorte di fare parte di analoga suddivisione.
4498,Or mira l’alto proveder divino:,Ammira in questo la profondità della Provvidenza 
4499,ché l’uno e l’altro aspetto de la fede,divina: giacché i due atteggiamenti di fede
4500,igualmente empierà questo giardino.,riempiranno in egual misura questo Paradiso .
4501,E sappi che dal grado in giù che fiede,Sappi inoltre che dal gradino che taglia  
4502,"a mezzo il tratto le due discrezioni,",a metà orizzontalmente le due linee divisorie 
4503,"per nullo proprio merito si siede,","fino al più basso, ci sono beati che siedono lì non "
4504,"ma per l’altrui, con certe condizioni:","per i loro meriti, ma per quelli di altri, a determinate condizioni:"
4505,ché tutti questi son spiriti ascolti,poiché tutti costoro sono  beati liberati  
4506,prima ch’avesser vere elezïoni.,prima di poter fare proprie scelte. 
4507,Ben te ne puoi accorger per li volti,Lo potrai facilmente capire dai loro visi  
4508,"e anche per le voci püerili,","e anche dalle loro voci di bambini , "
4509,se tu li guardi bene e se li ascolti.,se li osservi e ascolti attentamente.
4510,Or dubbi tu e dubitando sili;,"Adesso tu hai un dubbio, e pensando a esso"
4511,ma io discioglierò ’l forte legame,resti in silenzio : ma io scioglierò lo stretto nodo
4512,in che ti stringon li pensier sottili.,con cui i tuoi sottili ragionamenti ti tengono legato.
4513,Dentro a l’ampiezza di questo reame,In tutta la grandezza di questo regno celeste
4514,"casüal punto non puote aver sito,","non può trovar posto nessuna cosa casuale , "
4515,se non come tristizia o sete o fame:,"come non può esservi la tristezza o la sete la fame, "
4516,ché per etterna legge è stabilito,poiché tutto ciò che stai contemplando  
4517,"quantunque vedi, sì che giustamente","è stato definito dalla legge divina, così come "
4518,ci si risponde da l’anello al dito;,perfettamente corrisponde l’anello al dito;
4519,e però questa festinata gente,e perciò questi beati giunti in fretta 
4520,a vera vita non è sine causa,alla vita beata sono non senza giusto motivo
4521,intra sé qui più e meno eccellente.,in posizione di diversa eccellenza fra di loro.
4522,Lo rege per cui questo regno pausa,Dio per grazia del quale tutto il Paradiso si
4523,"in tanto amore e in tanto diletto,",appaga  di un amore e di un gaudio così
4524,"che nulla volontà è di più ausa,",grandi che nessun beato osa  desiderarne
4525,le menti tutte nel suo lieto aspetto,"di più, nel creare al suo amorevole sguardo tutte le anime,"
4526,"creando, a suo piacer di grazia dota",a suo piacere le dota in misura diversa di Grazia; 
4527,diversamente; e qui basti l’effetto.,"e su questo, ci devono bastare le cose così come stanno."
4528,E ciò espresso e chiaro vi si nota,E questo vi è rivelato in modo semplice e chiaro 
4529,ne la Scrittura santa in quei gemelli,dalla Bibbia nella storia di quei due gemelli 
4530,che ne la madre ebber l’ira commota.,che ancora nel ventre materno si mossero a ira fra di loro .
4531,"Però, secondo il color d’i capelli,",Perciò è necessario e giusto che la sublime 
4532,di cotal grazia l’altissimo lume,luce della grazia naturale si faccia aureola  
4533,degnamente convien che s’incappelli.,in proporzione alla natura di ognuno . 
4534,"Dunque, sanza mercé di lor costume,","Pertanto, senza merito  di comportamento, "
4535,"locati son per gradi differenti,",questi bambini sono posti su gradini diversi 
4536,sol differendo nel primiero acume.,differenziandosi solo nella primaria disposizione a Dio.
4537,Bastavasi ne’ secoli recenti,Nei tempi più vicini alla creazione per ottenere 
4538,"con l’innocenza, per aver salute,",la salvezza era sufficiente oltre all'innocenza
4539,solamente la fede d’i parenti;,naturale solo la fede dei genitori ;
4540,"poi che le prime etadi fuor compiute,","conclusi  quei primi secoli, ai maschi "
4541,convenne ai maschi a l’innocenti penne,fu necessario procurare purezza alle loro 
4542,per circuncidere acquistar virtute;,innocenti ali per mezzo della circoncisione; 
4543,"ma poi che ’l tempo de la grazia venne,","ma dopo che ebbe inizio l’era cristiana , "
4544,sanza battesmo perfetto di Cristo,quei bambini innocenti furono trattenuti nel Limbo  
4545,tale innocenza là giù si ritenne.,se privi del battesimo perfetto in Cristo.
4546,Riguarda omai ne la faccia che a Cristo,"Volgiti ormai al volto della Vergine, colei che"
4547,"più si somiglia, ché la sua chiarezza","maggiormente somiglia a Cristo, giacché solo la"
4548,sola ti può disporre a veder Cristo».,sua luminosità ti può rendere disposto alla visione di Dio».
4549,Io vidi sopra lei tanta allegrezza,Io vidi scendere su di lei tanta gioia di luce
4550,"piover, portata ne le menti sante",portata da quegli spiriti angelici  creati
4551,"create a trasvolar per quella altezza,","per volare attraverso quella somma altezza del cielo, "
4552,"che quantunque io avea visto davante,","che tutto quanto io avevo potuto ammirare prima,"
4553,"di tanta ammirazion non mi sospese,","non mi aveva riempito di altrettanto stupore, e nulla"
4554,né mi mostrò di Dio tanto sembiante;,mi era mai apparso di così simile a Dio; 
4555,"e quello amor che primo lì discese,",e l’amore angelico che per primo le discese 
4556,"cantando ‘Ave, Maria, gratïa plena’,","vicino , aprì le sue ali davanti"
4557,dinanzi a lei le sue ali distese.,"a lei, cantando ‘Ave Maria, piena di grazia’."
4558,Rispuose a la divina cantilena,Al canto angelico l’intero coro dell’Empireo
4559,"da tutte parti la beata corte,","rispose da ogni punto, così che tutti i loro "
4560,sì ch’ogne vista sen fé più serena.,aspetti  divennero più luminosi.
4561,"«O santo padre, che per me comporte","«O padre beato, che per amore di me accetti  "
4562,"l’esser qua giù, lasciando il dolce loco","di sostare qui in basso, lasciando quel luogo "
4563,"nel qual tu siedi per etterna sorte,","di beatitudine in cui tu sei assiso per predestinazione divina, "
4564,qual è quell’ angel che con tanto gioco,quale angelo è quello che con così intensa letizia 
4565,"guarda ne li occhi la nostra regina,","contempla il volto della Vergine regina, "
4566,innamorato sì che par di foco?».,così acceso d’amore che sembra una fiamma viva?». 
4567,Così ricorsi ancora a la dottrina,Con queste parole mi affidai di nuovo alla sapienza 
4568,"di colui ch’abbelliva di Maria,","di s. Bernardo, che riceveva ulteriore bellezza"
4569,come del sole stella mattutina.,"dalla luce della Vergine, come Venere dal sole."
4570,Ed elli a me: «Baldezza e leggiadria,Egli rispose: «Tutta la baldanza e la letizia
4571,"quant’ esser puote in angelo e in alma,","che può esserci in un angelo e in un beato, è al"
4572,"tutta è in lui; e sì volem che sia,",massimo grado  in quel l’angelo; 
4573,perch’ elli è quelli che portò la palma,"e noi tutti lo desideriamo, poiché egli è colui "
4574,"giuso a Maria, quando ’l Figliuol di Dio","che portò in terra alla vergine Maria la palma della vittoria, "
4575,carcar si volse de la nostra salma.,quando Cristo scelse di caricarsi il peso del corpo umano .
4576,Ma vieni omai con li occhi sì com’ io,Ma ora segui con lo sguardo ciò che io
4577,"andrò parlando, e nota i gran patrici","ti indicherò a parole, e guarda  le più nobili"
4578,di questo imperio giustissimo e pio.,anime  di questo regno di somma giustizia e santità.
4579,Quei due che seggon là sù più felici,Quei due beati tanto in alto e di più intensa
4580,"per esser propinquissimi ad Agusta,","felicità perché più vicini alla Madonna, nostra imperatrice , "
4581,son d’esta rosa quasi due radici:,sono come le radici di questa rosa di beati; 
4582,colui che da sinistra le s’aggiusta,"quello posto a fianco  sulla sinistra, "
4583,è il padre per lo cui ardito gusto,è il progenitore a causa del cui temerario morso  
4584,l’umana specie tanto amaro gusta;,gli uomini soffrono tante amarezze ;
4585,dal destro vedi quel padre vetusto,sul lato destro puoi vedere l’antico padre 
4586,di Santa Chiesa a cui Cristo le chiavi,"della Chiesa di Dio, al quale Cristo affidò le chiavi "
4587,raccomandò di questo fior venusto.,per salire a questo meraviglioso  fiore .
4588,"E quei che vide tutti i tempi gravi,","Di fianco a questo è seduto s. Giovanni,"
4589,"pria che morisse, de la bella sposa",colui che prima di morire ebbe la visione di tutti i
4590,"che s’acquistò con la lancia e coi clavi,","mali della Chiesa, la dolce sposa conquistata con la"
4591,"siede lungh’ esso, e lungo l’altro posa",crocifissione  e con la morte  ; 
4592,quel duca sotto cui visse di manna,"di fianco all’altro c’è Mosè, il condottiero sotto "
4593,"la gente ingrata, mobile e retrosa.",il quale l’ingrato e ribelle popolo ebraico si cibò di manna.
4594,"Di contr’ a Pietro vedi sedere Anna,","Di fronte a s. Pietro puoi vedere assisa s. Anna ,"
4595,"tanto contenta di mirar sua figlia,","così felice di contemplare sua figlia, che anche "
4596,che non move occhio per cantare osanna;,"mentre canta le lodi a lei, non sposta il suo sguardo;"
4597,e contro al maggior padre di famiglia,"e in faccia ad Adamo, il più grande tra i padri di famiglia, "
4598,"siede Lucia, che mosse la tua donna","è seduta s. Lucia, colei che indusse Beatrice a venirti in aiuto, "
4599,"quando chinavi, a rovinar, le ciglia.",quando il tuo sguardo ritornava verso il peccato.
4600,"Ma perché ’l tempo fugge che t’assonna,",Ma poiché fugge il tempo a te designato
4601,"qui farem punto, come buon sartore",", fermiamoci qui, come il bravo sarto"
4602,che com’ elli ha del panno fa la gonna;,che fa l’abito con la quantità di panno a disposizione;
4603,"e drizzeremo li occhi al primo amore,","e alzeremo lo sguardo all’amore divino, in modo"
4604,"sì che, guardando verso lui, penètri",che tu contemplandolo possa penetrare nella sua
4605,quant’ è possibil per lo suo fulgore.,essenza sfolgorante il più a fondo possibile.
4606,"Veramente, ne forse tu t’arretri","Tuttavia , affinché non ti accada "
