,Paradiso,gpt_parafrasi
1661," ma per acquisto d’esto viver lieto e Sisto e Pïo e Calisto e Urbano sparser lo sangue dopo molto fleto","Sisto, Pio, Calisto e Urbano versarono lacrime abbondanti per acquisire questa vita beatificante che sarebbe costata loro il sangue."
1662," Non fu nostra intenzion ch’a destra mano d’i nostri successor parte sedesse, parte da l’altra del popol cristiano",Non era nostra intenzione che il popolo cristiano sia diviso a destra e sinistra rispetto ai nostri successori.
1663," né che le chiavi che mi fuor concesse, divenisser signaculo in vessillo che contra battezzati combattesse",né che le chiavi che mi furono concesse venissero utilizzate come simbolo su bandiere sventolate durante i scontri con persone battezzate
1664," né ch’io fossi figura di sigillo a privilegi venduti e mendaci, ond’ io sovente arrosso e disfavillo","non desidero che la mia immagine sia utilizzata per sigilli di privilegi contraffatti e venduti, provocando in me una profonda vergogna e indignazione."
1665," In vesta di pastor lupi rapaci si veggion di qua sù per tutti i paschi","Da questa posizione, i lupi affamati sono visibili sui prati travestiti come pastori."
1666," o difesa di Dio, perché pur giaci? ","Oh giustizia divina, perché arrivi tardi?"
1667," Del sangue nostro Caorsini e Guaschi s’apparecchian di bere",Caorsini e Guaschi si preparano a nutrirsi del nostro sangue.
1668," o buon principio, a che vil fine convien che tu caschi","oh nobile principio, come sei destinato a cadere in basso"
1669," Ma l’alta provedenza, che con Scipio difese a Roma la gloria del mondo, soccorrà tosto, sì com’ io concipio","Come prevedo, la divina Provvidenza - che con Scipione ha custodito la fama di Roma nel mondo - interverrà a breve."
1670," e tu, figliuol, che per lo mortal pondo ancor giù tornerai, apri la bocca, e non asconder quel ch’io non ascondo»","E tu, giovane, che tornerai sulla Terra con una forma fisica mortale, parla apertamente e non nascondere ciò che io non ti nascondo."
1671," Sì come di vapor gelati fiocca in giuso l’aere nostro, quando ’l corno de la capra del ciel col sol si tocca, ",Riccioli di neve cadono dal nostro cielo quando il corno della capra celeste si allinea con il Sole.
1672," in sù vid’ io così l’etera addorno farsi e fioccar di vapor trïunfanti che fatto avien con noi quivi soggiorno",Guardai in alto come il cielo s'illuminava e gli spiriti celesti gioiosamente ascendevano con quelli di noi rimasti qui.
1673," Lo viso mio seguiva i suoi sembianti, e seguì fin che ’l mezzo, per lo molto, li tolse il trapassar del più avanti","Il mio sguardo non abbandonava quelle luci, stentando a perderne di vista malgrado la grande distanza che li divideva."
1674," Onde la donna, che mi vide assolto de l’attendere in sù, mi disse","A quel punto la donna, notando che avevo smesso di osservare il cielo, mi rivolse la parola"
1675," «Adima il viso e guarda come tu se’ vòlto»",Abbassa gli occhi e nota quanto hai fatto ruotare nel Cielo.
1676," Da l’ora ch’ïo avea guardato prima i’ vidi mosso me per tutto l’arco che fa dal mezzo al fine il primo clima","Quando guardai per la prima volta, capii che avevo navigato dal centro all'ultimo estremo del primo clima."
1677," sì ch’io vedea di là da Gade il varco folle d’Ulisse, e di qua presso il lito nel qual si fece Europa dolce carco","Guardando a ovest, vedevo il caotico passaggio di Ulisse presso Cadice e a est la costa dove Europa aveva cavalcato."
1678," E più mi fora discoverto il sito di questa aiuola",Avrei potuto vedere più di questa aiuola.
1679," ma ’l sol procedea sotto i mie’ piedi un segno e più partito","mentre avanzavo, il Sole transiva attraverso un segno zodiacale al di sotto dei miei piedi"
1680," La mente innamorata, che donnea con la mia donna sempre, di ridure ad essa li occhi più che mai ardea","La mia mente innamorata, che sogna senza sosta la donna amata, aveva un desiderio ardente di rivolgerle lo sguardo."
1681," e se natura o arte fé pasture da pigliare occhi, per aver la mente, in carne umana o ne le sue pitture, ","Se la Natura o l'Arte creassero degli scenari così incantevoli da suscitare ammirazione e adornare gli animi, nei corpi umani o nell’arte pittorica, sarebbero di sicuro irresistibili."
1682," tutte adunate, parrebber nïente ver’ lo piacer divin che mi refulse, quando mi volsi al suo viso ridente","Riunite tutte insieme, non potrebbero competere con la maestosità della bellezza divina di Beatrice che brillava su di me, quando ho incontrato il suo sorriso."
1683," E la virtù che lo sguardo m’indulse, del bel nido di Leda mi divelse, e nel ciel velocissimo m’impulse","Il suo sguardo mi illuminò con la sua virtù e io riuscii a lasciare il segno dei Gemelli, catapultandomi con una velocità infinita nel Firmamento."
1684," Le parti sue vivissime ed eccelse sì uniforme son, ch’i’ non so dire qual Bëatrice per loco mi scelse","Le sue sezioni luminosissime e alte erano così equilibrate, che io non potevo capire in quale Beatrice mi avesse fatto penetrare."
1685," Ma ella, che vedëa ’l mio disire, incominciò, ridendo tanto lieta, che Dio parea nel suo volto gioire","Ella, notando il mio desiderio, si mise a parlare sorridendo con così tanta felicità che sembrava che anche la divinità godesse della sua espressione."
1686," «La natura del mondo, che quïeta il mezzo e tutto l’altro intorno move, quinci comincia come da sua meta","L'essenza dell'Universo, con la Terra che sta al centro e tutto il resto in orbita attorno ad essa, ha qui la sua origine ed è qui che si conclude."
1687," e questo cielo non ha altro dove che la mente divina, in che s’accende l’amor che ’l volge e la virtù ch’ei piove","Nessun luogo può contenere questo Cielo tranne la mente di Dio, in cui si manifestano l'amore che lo fa girare e le virtù che esso esercita."
1688," Luce e amor d’un cerchio lui comprende, sì come questo li altri","Come un Cielo che avvolge gli altri, luce e amore divino circondano anche loro."
1689," e quel precinto colui che ’l cinge solamente intende",solo Colui che lo circonda è consapevole di ciò che è racchiuso all'interno dell'involucro.
1690," Non è suo moto per altro distinto, ma li altri son mensurati da questo, sì come diece da mezzo e da quinto","Il suo movimento non è paragonato agli altri, ma gli altri moti sono confrontati con questo come l'intervallo tra dieci e cinque o due."
1691," e come il tempo tegna in cotal testo le sue radici e ne li altri le fronde, omai a te può esser manifesto",Come il tempo abbia le proprie radici nel proprio vaso e i suoi rami che si estendono sino agli altri Cieli è ormai chiaro.
1692," Oh cupidigia che i mortali affonde sì sotto te, che nessuno ha podere di trarre li occhi fuor de le tue onde","Oh, l'avidità che trascina i mortali nei tuoi abissi, al punto tale che nessuno può scorgere oltre le tue acque."
1693," Ben fiorisce ne li uomini il volere",va volontà fiorisce bene negli uomini
1694," ma la pioggia continüa converte in bozzacchioni le sosine vere","La forte pioggia causa la distruzione di susine autentiche, che diventano marce e insapori."
1695," Fede e innocenza son reperte solo ne’ parvoletti",L'ingenuità e la purezza sono caratteristiche esclusive dei bambini.
1696," poi ciascuna pria fugge che le guance sian coperte","prima che il loro volto sia ricoperto da peli, esse allontanano rapidamente"
1697," Tale, balbuzïendo ancor, digiuna, che poi divora, con la lingua sciolta, qualunque cibo per qualunque luna","Alcuni bambini che non hanno ancora imparato a comunicare con le parole sono esigenti nel cibo, mentre quando acquisiscono lo sviluppo linguistico diventano molto meno schizzinosi in fatto di alimentazione, mangiando qualunque cosa in ogni momento dell'anno."
1698," e tal, balbuzïendo, ama e ascolta la madre sua, che, con loquela intera, disïa poi di vederla sepolta","altri, quando sono ancora giovani e imparano a parlare, trattano con amore e rispetto la propria madre; mentre crescendo desiderano ardentemente che lei non sia più viva."
1699," Così si fa la pelle bianca nera nel primo aspetto de la bella figlia di quel ch’apporta mane e lascia sera","Al primo brillare dell'Aurora, figlia di Iperione, chi porta il mattino e annulla la sera, così vediamo come la pelle bianca diventi scura."
1700," Tu, perché non ti facci maraviglia, pensa che ’n terra non è chi governi",Rifletti su questo: sulla Terra è assente un'autorità sovrana.
1701," onde sì svïa l’umana famiglia",di conseguenza l'umanità viene sviata
1702," Ma prima che gennaio tutto si sverni per la centesma ch’è là giù negletta, ","Prima che l'inverno raggiunga il suo finale con la centesima parte del giorno rimasto sul nostro pianeta, Gennaio dovrà uscire."
1703," raggeran sì questi cerchi superni, che la fortuna che tanto s’aspetta, le poppe volgerà u’ son le prore, ","Questi splendidi cerchi celesti risplenderanno così luminosi da spingere la Provvidenza, che tanto attendiamo, a invertire le prospettive di orientamento, dove ora sono rivolte le prue."
1704," sì che la classe correrà diretta",in modo tale che la flotta possa tornare sulla rotta corretta
1705," e vero frutto verrà dopo ’l fiore»",e il fiore darà origine a un frutto reale.
1706," Poscia che ’ncontro a la vita presente d’i miseri mortali aperse ’l vero quella che ’mparadisa la mia mente, ","Dopo che lei, la mia guida verso la felicità, mi ha rivelato l'oscena realtà in cui vivono gli uomini,"
1707," come in lo specchio fiamma di doppiero vede colui che se n’alluma retro, prima che l’abbia in vista o in pensiero, ","come colui che ha la luce di una lampada alle proprie spalle, vede il proprio riflesso in uno specchio."
1708," e sé rivolge per veder se ’l vetro li dice il vero, e vede ch’el s’accorda con esso come nota con suo metro","E si volta per verificare se quello che lo specchio mostra è la realtà, e vede che l'immagine coincide perfettamente con la realtà, come una melodia ed il suo accompagnamento."
1709," così la mia memoria si ricorda ch’io feci riguardando ne’ belli occhi onde a pigliarmi fece Amor la corda","Mentre i begli occhi con cui Amore aveva creato un laccio per prendermi mi fissavano, la mia mente ricordava ciò che avevo fatto."
1710," E com’ io mi rivolsi e furon tocchi li miei da ciò che pare in quel volume, quandunque nel suo giro ben s’adocchi, ","Quando volgevo lo sguardo al firmamento, ogni volta che ne scrutavo i misteriosi incanti, subito appariva ciò che è custodito in quella sua cupola celeste."
1711," un punto vidi che raggiava lume acuto sì, che ’l viso ch’elli affoca chiuder conviensi per lo forte acume",un punto luminoso brillava così intensamente da abbagliare tutti coloro che lo guardavano costringendoli a chiudere gli occhi.
1712," e quale stella par quinci più poca, parrebbe luna, locata con esso come stella con stella si collòca","e ogni stella che sembra debole, sarebbe più splendente della Luna se paragonata a quel punto come due luci sono insieme nel cielo."
1713," Forse cotanto quanto pare appresso alo cigner la luce che ’l dipigne quando ’l vapor che ’l porta più è spesso, ","Quando l'atmosfera è satura di fitte nebbie, l'astro sembra avvolto da un alone che lo rende visibile."
1714," distante intorno al punto un cerchio d’igne si girava sì ratto, ch’avria vinto quel moto che più tosto il mondo cigne",Un anello di fuoco turbinava attorno a quell'area in modo così rapido da sopravanzare la velocità del movimento che circonda la Terra.
1715," e questo era d’un altro circumcinto, e quel dal terzo, e ’l terzo poi dal quarto, dal quinto il quarto, e poi dal sesto il quinto","Questo cerchio era circondato da anelli crescenti, il primo seguito da un secondo, poi dal terzo e così via fino al sesto."
1716," Sopra seguiva il settimo sì sparto già di larghezza, che ’l messo di Iuno intero a contenerlo sarebbe arto","Un settimo, più grande degli altri sei, era così vasto che il messaggero di Giunone sarebbe stato troppo piccolo per racchiuderlo interamente."
