Originale,Traduzione EN
"E poi la cominciò a predicare,",saying: “You must not be modest 
E disse: “Tu non ,because of me; because there’s no one from here to Bologna
i aver vergogna,who knows how to hide something better
"Di me, chéd e' nonn-à di qui a Bologna","than I, and for this I have my name.”"
Nessun c[h]'un fatto saccia me' celare,Modesty did not then know what to say. 
"Che saprò io, e perciò porto il nome”.","Fear shouted to her: “Cousin, what’s the matter?"
Vergogna sì non sep[p]e allor che dire.,Have you completely lost your boldness? 
Paura l,"Now I see how you overcome your cowardice, "
" sgridò: “Cugina, come?",when you are afraid to die.”
À' tu perduto tutto tuo ardire?,
"Or veg[g]h'i' ben che vita troppo †dura†,",
Quando tu ài paura di morire”.,
A la sua spada mise man Paura,Fear took her sword in hand 
Per soccor[r]er Vergogna sua vicina:,"to help Modesty, her cousin: "
A Ben-Celar diè per sì grande aina,she struck Well-Hidden with such hatred 
Ched e' fu de la vita inn-aventura.,that his life was in danger.
Contra leï battaglia poco dura:,Battles do not last long against her: 
Ardimento s'occorse a la miccina,Boldness fought against the young woman 
"Con una spada molto chiara e fina,","with a very sharp and shiny sword, "
E sì•lle fece molto gran paura.,and so he scared her very much.
Ma tuttavia Paura si conforta,But Fear rallies all the same 
E prese cuore in far sua difensione,"and became courageous in her defense, "
E disse c[h]'ameria me' d'esser morta,and said she’d prefer to be dead
C[h]'Ardimento le tolga sua ragione:,than for Boldness to take away what’s hers. 
Allora in testa gli diè tal iscorta,Then she gave him such compensation on his head 
Ched ella 'l mise giù in terra boccone.,that she sent him face down on the ground.
Quando Sicurtà vide c[h]'Ardimento,When Safety saw that Boldness 
"Contra Paura avea tutto perduto,","had lost everything against Fear, "
Sì corse là per dargli il su' aiuto,she hurried there to give him help 
E cominciò il su' tornïamento.,and began her own combat.
Ma contra lei non eb[b]e duramento:,But against her she could not last long: 
"Paura quello stormo eb[b]e vincuto,","Fear had won that skirmish, "
"E anche un altro, s'e' vi fosse essuto.","and even another, if there had been one. "
Ma Sicurtà sì eb[b]e acorgimento:,But Safety was very shrewd:
"Ispada e scudo gittò tosto in terra,",she threw her sword and shield to the ground 
E•mantenente con ambo le mani,"and immediately, with both hands, "
A le tempie a Paura sì s'aferra.,grabs Fear around the head.
"E gli altri, ch'eran tutti lassi e vani,","And the others, who were all weary and without strength, "
"Ciascun si levò suso, e sì s'a",got up and throw themselves 
erra,"into that scuffle, as though they were dogs."
"A quella zuffa, com'e' fosser cani.",
"Molto durò tra•llor quella battaglia,","That battle between them went on and on, "
Che ciascun roba e carni vi si straccia.,and their clothing and bodies were torn to shreds. 
L'un l'altro abatte per forza di braccia.,They knock each other down with brute strength. 
"Non fu veduta mai tal trapresaglia,",Such a fight had never been seen:
Che que' d'entro facien troppo gran taglia,those inside the castle were slaughtering 
Di que' di fuor; Amor allor procaccia,those outside. Then Love proposes a truce 
Che tra lor una trieva sì si faccia,"of twenty days, or more, "
"Di venti dì, o di più, che me' vaglia:",whichever may be better.
"Ch'e' vede ben che mai quella fortez[z]a,",For he clearly sees that he would never 
"Se•lla madre non v'è, non prendereb[b]e.","take that fortress, if his mother does not take part."
Allor la manda a chieder per Franchez[z]a.,Then he sends Sincerity to summon her.
Contra colei sa ben non si ter[r]eb[b]e:,He knows that she would not say no to her; 
"Che s'ella il su' brandon ver' lor adrez[z]a,","if Venus turns her torch against them, "
Imantenente tutti gli ardereb[b]e.,she would immediately set them all on fire.
"Franchez[z]a sì s'è de l'oste partita,","Sincerity left the army of the barons, "
E Amor sì•ll'à ben incaricato,and Love gave her instructions 
"Che•lli dica a la madre ogne su' stato,",to tell his mother all about his current state – 
"Com'egli è a gran rischio de la vita,","how his life is in great danger,"
E che sua forza è molto infiebolita:,and how his strength is greatly diminished –
Ch'ella faccia che per lei si' aiutato.,and to do what she can to help him. 
"Allor Franchez[z]a sì à cavalcato,",Then Sincerity rode off 
"E dritto a Ceceron sì se n'è ita,","and went straight to Mount Cecerone, "
Credendo che vi fosse ,believing that the goddess would be there; 
a dïessa:,but she had gone into the woods to hunt; 
"Ma el[l]'er'ita in bosco per cacciare,",and so Sincerity went directly to her.
Sì che Franchez[z]a n'andò dritt'a essa.,She found her resting in the shade of an oak tree. 
Sott'una quercia la trovò ombreare:,Sincerity quickly kneeled before her 
"Quella sì tosto in ginoc[c]hie s'è messa,",and greeted her courteously.
E dolzemente l'eb[b]e a salutare.,
"“Molte salute, madonna, v'aporto","“My Lady, I bring you many greetings "
Dal vostro figlio: e' priegavi per Dio,"from your son, who begs you, in the name of God, "
"Che 'l socor[r]iate, od egli è in punto rio,","that you help him, or else he is in serious trouble, "
Ché Gelosia gli fa troppo gran torto;,because Jealousy is giving him many problems.
Ch'e' nonn-à guar ched e' fu quasi morto,A short while ago he was almost killed 
"'N una battaglia, nella qual fu' io.","in a battle, in which I too took part. "
"Ancor si par ben nel visag[g]io mio,",My face still clearly shows 
Che molto mi vi fu strett'ed atorto”.,that I was in the thick of battle.”
"Allor Venusso fu molto crucciata,",Then Venus became enraged 
E disse ben che•lla fortez[z]a fia,and said that very soon 
Molto tosto per lei tutta 'mbraciata;,she will set the fortress on fire;
Ed a malgrado ancor di Gelosia,"and despite the efforts of Jealousy, "
Ella serà per terra rovesciata:,the fortress will be destroyed: 
No•lle varrà già guardia che vi sia.,no guard whatsoever will be able to save it.
Venusso sì montò sus'un ronzino,Venus mounted her swift 
"Corsiere, ch'era buon da cacciagione,","steed, which was good for hunting, "
E con sua gente n'andò a Cicerone:,and with her company she went to Mount Cicerone: 
Sì comanda che sia prest'al matino,she orders that her war chariot of pure gold
"Il carro süo, ch'era d'oro fino.",be ready in the morning. 
Imantenente fu messo i•limone,"The pole was quickly attached to the chariot, "
"E presto tutto, sì ben per ragione",and all was readied so that 
"Che, quando vuol, puote entrar in camino.",they can begin the journey whenever they want.
Ma non volle caval per limoniere,But she refused to have a guide horse 
"Né per tirare il car[r]o, anzi fe' trare","pull the chariot; rather, she took "
Cinque colombi d'un su' colombiere:,five doves from one of her dovecotes
A corde di fil d'or gli fe' legare.,and had them tied to it with golden threads. 
"Non bisognava avervi carettiere,","A coachman was not needed, "
Ché•lla dea gli sapëa ben guidare.,for the goddess was an expert driver.
Di gran vantag[g]io fu 'l carro prestato.,The chariot was readied in excellent fashion. 
"Venusso ben matin v'è su salita,","Early in the morning Venus climbed aboard, "
E sì sacciate ch'ell'era guernita,and you should know that she was well equipped 
E d'arco e di brandon ben impennato;,"with a bow and a well-feathered torch,"
E seco porta fuoco temperato.,and with her she brought a well-tempered fire.
"Così da Ciceron sì s'è partita,",In this way she left Mount Cicerone 
E dritta all'oste del figl[i]uol n'è ita,and went straight to her son’s army 
Con suo' colombi che 'l car[r]'àn tirato.,with her doves that pulled the chariot.
Lo Dio d'Amor sì avea rotte le trieve,"The God of Love had broken the truce,"
"Prima che Veno vi fosse arivata,","before Venus had arrived, "
Ché troppo gli parea l'atender grieve.,for the wait seemed to him intolerable.
"Venus[so] dritta a lui sì se n'è andata,",Venus went straight to him 
"Sì disse: “Figl[i]uol, non dottar, ché 'n brieve","and said: “My son, do not fear, for in no time "
Questa fortez[z]a no' avremo ater[r]ata.,we’ll have brought this fortress down.”
"“Figl[i]uol mi', tu farai un saramento,","“My son, you will make a pledge, "
"E io d'altra parte sì 'l faròe,",and I will make one too: 
Che castitate i' ma' non lascieròe,"namely, that I will never let chastity remain "
"In femina che ag[g]ia intendimento,","in any woman who has common sense, "
Né tu in uon che•tti si' a piacimento.,and you should do the same with any man you like. 
Ed i' te dico ben ch'i' lavorròe,And I say to you that I will go to work 
Col mi' brandone: sì gli scalderòe,"with my torch, and I’ll heat them up "
Che ciaschedun verrà a comandamento”.,so much that each one will obey our command.”
"Per far le saramenta sì aportaro,","In order to make these vows, they brought –"
En luogo di relique ,in the place of relics and a missal –
",",torches and bows and arrows; and so they swore
Brandoni e archi e saette; sì giuraro,"on these objects, declaring them to be equally valid."
"Di suso, e dis[s]er c[h]'altrettanto vale.","All those in the army of Love were in agreement, "
"Color de l'oste ancor vi s'acordaro,",for each one of them knew the Decretals.
Ché ciaschedun sapea le Dicretal,
.,
"Venus[so], che d'assalire era presta,","Venus, who was ready to attack, "
Sì comanda a ciascun ched e' s'arenda,orders everyone either to surrender 
"O che la mercé ciascheduno atenda,","or to wait for their reward, "
Ch'ella la guarda lor tratutta presta.,which she has good and ready for them.
"E sì lor à giurato, per sua testa,",And so she swore to them on her own head 
Ched e' non ,that no one will be able to defend himself 
"ia nessun che si difenda,",from the bodily wounds that she’ll inflict; 
Ch'ella de la persona no•gli afenda:,"and thus, she gives each and every one fair warning."
E così ciaschedun sì amonesta.,Modesty answered: “I’m not afraid of you.
Vergogna sì respuose: “I' non vi dotto.,"Even if I were the only one in the castle, "
"Se nel castel non fosse se non io,",I would not believe that it could be destroyed by you.
Non crederei che fosse per voi rotto.,"Whenever you want, you can begin your efforts; "
"Quando vi piace intrare a•lavorio,","You’ll not take the castle with threats alone, "
"Già per minaccie no•mi 'ntrate sotto,",not you nor that one who calls himself the God of Love.”
Né vo' né que' che d'amor si fa dio”.,
Quando Venùs intese che Vergogna,When Venus heard Modesty 
"Parlò sì arditamente contr'a•llei,","speak so boldly against her, "
Sì gl[i] à giurato per tutti gli dèi,she quickly swore on all the gods 
Ch'ella le farà ancor gran vergogna;,that she will bring her great disgrace.
"E poi villanamente la rampogna,","And then rudely she rebukes her, "
"Dicendo: “Garza, poco pregerei","saying: “You slut, little would I value "
"Il mi' brandon, sed i' te non potrei","my torch, if I could not make "
Farti ricoverare in una fogna.,you take refuge in a sewer.
"Già tanto non se' figlia di Ragione,","You aren’t so much the daughter of Reason, "
"Che sempre co' figl[i]uoi m'à guer[r]eg[g]iato,","who has always battled me with her children, "
Ch'i' non ti metta fuoco nel groppone”.,that I won’t set your ass on fire.”
Ed a Paura ancor da l'altro lato:,And to Fear who’s still on the other side:
"“Ben poco varrà vostra difensione,","“Your defense won’t be worth too much to you,"
Quand'i' v'avrò il fornel ben riscaldato”.,once I’ve stoked up your hot little oven.”
"Molto le va Venus[so] minacciando,","Venus threatens these two a lot, "
"Dicendo, se no•rendono il castello,","saying that, if they don't surrender the castle, "
"Ched ella metterà fuoco al fornello,","then she’ll set their burners on fire, "
Sì che per forza le n'andrà cacciando.,so that she will surely drive them out.
"E disse: “A mille diavol' v'acomando,",She said: “To a thousand devils I commend anyone 
