,Inferno,Inferno_ita
4203,tre Frison s’averien dato mal vanto;,che tre abitanti della Frisia non avrebbero potuto vantarsi di arrivare ai capelli; 
4204,però ch’i’ ne vedea trenta gran palmi,poiché io del suo corpo vedevo trenta palmi abbondanti 
4205,dal loco in giù dov’omo affibbia ’l manto. ,a partire dal punto in cui l’uomo si affibbia il mantello verso il basso.
4206,"""Raphèl maì amècche zabì almi"",","«Raphèl maì amècche zabì almi», "
4207,"cominciò a gridar la fiera bocca,","cominciò a gridare l’orribile  bocca, "
4208,cui non si convenia più dolci salmi. ,alla quale non si addicevano parole  più dolci. 
4209,"E ’l duca mio ver’ lui: ""Anima sciocca,","E la mia guida volgendosi a lui: «Anima sciocca,"
4210,"tienti col corno, e con quel ti disfoga",accontentati  del corno e sfogati con quello 
4211,quand’ira o altra passïon ti tocca! ,quando l’ira o qualche altra passione ti prendono ! 
4212,"Cércati al collo, e troverai la soga","Cerca intorno al collo, e troverai la cinghia  "
4213,"che ’l tien legato, o anima confusa,","che lo tiene legato, o anima confusa,"
4214,"e vedi lui che ’l gran petto ti doga"". ",e vedrai il corno che ti attraversa il petto potente come una doga». 
4215,"Poi disse a me: ""Elli stessi s’accusa;",Poi mi disse: «Si rivela da se stesso per ciò che è ; 
4216,questi è Nembrotto per lo cui mal coto,"costui è Nembrot, a causa del cui empio pensiero "
4217,pur un linguaggio nel mondo non s’usa. ,nel mondo non si usa un linguaggio solo. 
4218,Lasciànlo stare e non parliamo a vòto;,Lasciamolo stare e non parliamo inutilmente ; 
4219,ché così è a lui ciascun linguaggio,poiché così è per lui ogni linguaggio umano
4220,"come ’l suo ad altrui, ch’a nullo è noto"". ","come per gli altri il suo, che non è conosciuto da nessuno». "
4221,"Facemmo adunque più lungo vïaggio,","Facemmo dunque un percorso più lungo, "
4222,vòlti a sinistra; e al trar d’un balestro,"volgendo a sinistra; e, a un tiro di balestra,"
4223,trovammo l’altro assai più fero e maggio. ,incontrammo l’altro gigante ancor più feroce e di maggior statura. 
4224,"A cigner lui qual che fosse ’l maestro,",Chi fosse l’artefice  che lo legò  
4225,"non so io dir, ma el tenea soccinto","io non so dire, ma egli aveva il braccio sinistro legato  "
4226,dinanzi l’altro e dietro il braccio destro ,davanti e il destro dietro con una catena
4227,d’una catena che ’l tenea avvinto,"che lo teneva avvinto dal collo in giù, "
4228,"dal collo in giù, sì che ’n su lo scoperto",in modo che essa si avvolgeva per cinque giri  
4229,si ravvolgëa infino al giro quinto. ,intorno alla parte del corpo che era fuori del pozzo. 
4230,"""Questo superbo volle esser esperto",«Questo superbo volle sperimentare 
4231,"di sua potenza contra ’l sommo Giove"",","la sua forza fisica contro il sommo Giove», "
4232,"disse ’l mio duca, ""ond’elli ha cotal merto. ","disse la mia guida, «per cui ha un tale premio . "
4233,"Fïalte ha nome, e fece le gran prove","Si chiama Fialte, e compì le grandi prove "
4234,quando i giganti fer paura a’ dèi;,quando i giganti fecero paura agli dèi; 
4235,"le braccia ch’el menò, già mai non move"". ","le braccia che mosse, non muoverà più per l’eternità ». "
4236,"E io a lui: ""S’esser puote, io vorrei","E io a Virgilio: «Se fosse possibile , vorrei "
4237,che de lo smisurato Brïareo,che i miei occhi avessero diretta esperienza 
4238,"esperïenza avesser li occhi mei"". ",dello smisurato Briareo». 
4239,"Ond’ei rispuose: ""Tu vedrai Anteo","Ed egli rispose: «Tu vedrai qui vicino  Anteo,."
4240,"presso di qui che parla ed è disciolto,","che parla e non è incatenato, "
4241,che ne porrà nel fondo d’ogne reo. ,che ci porterà nel fondo di ogni colpa . 
4242,"Quel che tu vuo’ veder, più là è molto","Il gigante che tu vuoi vedere, è molto più lontano ed è incatenato"
4243,"ed è legato e fatto come questo,","e ha la stessa conformazione di questo,"
4244,"salvo che più feroce par nel volto"". ",a eccezione del fatto che appare più terribile nel volto». 
4245,"Non fu tremoto già tanto rubesto,",Non ci fu mai un terremoto così violento  
4246,"che scotesse una torre così forte,",che scuotesse una torre con la stessa forza 
4247,come Fïalte a scuotersi fu presto. ,con cui Fialte fu pronto a scrollarsi. 
4248,"Allor temett’io più che mai la morte,","Allora io ebbi paura della morte più che mai, "
4249,"e non v’era mestier più che la dotta,","e a farmi morire sarebbe bastata  la paura , "
4250,s’io non avessi viste le ritorte. ,se non avessi visto le catene . 
4251,"Noi procedemmo più avante allotta,","Noi allora  avanzammo oltre, "
4252,"e venimmo ad Anteo, che ben cinque alle,","e giungemmo vicino ad Anteo, che usciva fuori del pozzo  "
4253,"sanza la testa, uscia fuor de la grotta. ","di sette metri abbondanti , esclusa la testa. "
4254,"""O tu che ne la fortunata valle","«O tu che nella valle fortunata, "
4255,"che fece Scipïon di gloria reda,","che rese glorioso  Scipione,"
4256,"quand’Anibàl co’ suoi diede le spalle, ","quando Annibale fu volto in fuga insieme con il suo esercito, "
4257,"recasti già mille leon per preda,","un tempo  recasti come preda moltissimi  leoni, "
4258,"e che, se fossi stato a l’alta guerra","e che, se fossi stato presente alla grande  guerra dei tuoi fratelli,"
4259,"de’ tuoi fratelli, ancor par che si creda ",c’è ancora chi mostra di credere 
4260,ch’avrebber vinto i figli de la terra:,che i giganti  avrebbero vinto:
4261,"mettine giù, e non ten vegna schifo,",calaci  dove il freddo  fa ghiacciare  Cocito 
4262,dove Cocito la freddura serra. ,e non avere a sdegno di farlo. 
4263,Non ci fare ire a Tizio né a Tifo:,Non ci costringere  a ricorrere  a Tizio o a Tifo: 
4264,questi può dar di quel che qui si brama;,Dante può darti ciò che nell’Inferno  si desidera; 
4265,però ti china e non torcer lo grifo. ,per questo abbassati e non torcere il volto. 
4266,"Ancor ti può nel mondo render fama,","Egli ti può ancora dar fama nel mondo,"
4267,"ch’el vive, e lunga vita ancor aspetta","poiché è vivo, e avrà ancora molto da vivere, "
4268,"se ’nnanzi tempo grazia a sé nol chiama"". ",se la Grazia divina non lo chiama a sé prima del tempo». 
4269,Così disse ’l maestro; e quelli in fretta,"Così disse il maestro; e Anteo stese rapidamente le mani, "
4270,"le man distese, e prese ’l duca mio,",di cui  Ercole sentì una volta  
4271,ond’Ercule sentì già grande stretta. ,"la morsa  poderosa, e abbrancò la mia guida. "
4272,"Virgilio, quando prender si sentio,","Quando Virgilio si sentì afferrare, mi disse: "
4273,"disse a me: ""Fatti qua, sì ch’io ti prenda"";","«Avvicinati, affinché io possa prenderti»;"
4274,poi fece sì ch’un fascio era elli e io. ,poi mi abbracciò in modo che lui ed io formavamo un solo fascio. 
4275,Qual pare a riguardar la Carisenda,Come appare la Garisenda a osservarla 
4276,"sotto 'l chinato, quando un nuvol vada","dal lato verso cui è inclinata, quando una nuvola "
4277,"sovr'essa sì, ched ella incontro penda: ","vi passi sopra, in modo che essa penda nella direzione contraria: "
4278,tal parve Antëo a me che stava a bada,così Anteo apparve a me che stavo attentamente guardando 
4279,"di vederlo chinare, e fu tal ora","per vederlo piegare, e fu un momento di tale paura "
4280,ch’i’ avrei voluto ir per altra strada. ,che avrei voluto andare per un diverso cammino. 
4281,Ma lievemente al fondo che divora,Ma con delicatezza ci depose 
4282,"Lucifero con Giuda, ci sposò;",al fondo  che inghiotte  
4283,"né, sì chinato, lì fece dimora, ","Lucifero e Giuda; né rimase a lungo così chinato, "
4284,e come albero in nave si levò.,e si raddrizzò  come un albero di nave.
4285,"S’ïo avessi le rime aspre e chiocce,","Se io possedessi un linguaggio poetico fatto di parole aspre e rauche , "
4286,come si converrebbe al tristo buco,come sarebbe necessario per trattare dell’orrenda cavità 
4287,"sovra ’l qual pontan tutte l’altre rocce,","su cui premono tutti gli altri cerchi infernali, "
4288,io premerei di mio concetto il suco,esprimerei la sostanza  della mia visione 
4289,"più pienamente; ma perch’io non l’abbo,","più compiutamente; ma poiché non lo possiedo, "
4290,non sanza tema a dicer mi conduco; ,mi accingo a raccontare non senza paura; 
4291,ché non è impresa da pigliare a gabbo,poiché descrivere il fondo di tutto l’universo 
4292,"discriver fondo a tutto l’universo,","non è un’impresa da prendere alla leggera, "
4293,né da lingua che chiami mamma o babbo. ,né può essere affrontata da un linguaggio che usi termini  come mamma o babbo. 
4294,Ma quelle donne aiutino il mio verso,Vengano dunque in aiuto del mio verso le Muse 
4295,"ch’aiutaro Anfïone a chiuder Tebe,","che aiutarono Anfione a cingere Tebe , "
4296,sì che dal fatto il dir non sia diverso. ,cosicché le parole non si allontanino dalla materia. 
4297,Oh sovra tutte mal creata plebe,"O anime più di tutte create al male e alla dannazione, "
4298,"che stai nel loco onde parlare è duro,","che state nel luogo di cui è arduo parlare, "
4299,mei foste state qui pecore o zebe! ,meglio sarebbe che foste state sulla terra pecore o capre! 
4300,Come noi fummo giù nel pozzo scuro,"Non appena noi fummo giù nel buio fondo del pozzo,"
4301,"sotto i piè del gigante assai più bassi,","molto più in basso dei piedi del gigante, "
4302,"e io mirava ancora a l’alto muro, ","e io continuavo a guardare l’alta parete, "
4303,"dicere udi’ mi: ""Guarda come passi:",mi sentii dire: «Attento  a come cammini : 
4304,"va sì, che tu non calchi con le piante",procedi in modo da non calpestare 
4305,"le teste de’ fratei miseri lassi"". ",le teste dei fratelli sciagurati e infelici». 
4306,"Per ch’io mi volsi, e vidimi davante","Sicché io mi voltai, e vidi davanti a me "
4307,e sotto i piedi un lago che per gelo,e sotto i miei piedi un lago che a causa del gelo 
4308,avea di vetro e non d’acqua sembiante. ,pareva  di vetro e non d’acqua.
4309,Non fece al corso suo sì grosso velo,Non formarono mai durante il periodo invernale 
4310,"di verno la Danoia in Osterlicchi,",nel loro corso una così spessa crosta di ghiaccio 
4311,"né Tanaï là sotto ’l freddo cielo, ","né il Danubio in Austria  né il Don sotto il freddo cielo, "
4312,com’era quivi; che se Tambernicchi,come quella lì formata; tanto che se il monte Tambura 
4313,"vi fosse sù caduto, o Pietrapana,","o il Pania della Croce vi fossero precipitati, "
4314,non avria pur da l’orlo fatto cricchi. ,non avrebbe scricchiolato nemmeno sull’orlo. 
4315,E come a gracidar si sta la rana,E come la rana sta a gracidare 
4316,"col muso fuor de l’acqua, quando sogna","col muso fuori dall’acqua, quando la contadina "
4317,"di spigolar sovente la villana, ","sogna di cogliere spighe in abbondanza,"
4318,"livide, insin là dove appar vergogna","così le ombre dolenti dei dannati stavano, illividite, "
4319,"eran l’ombre dolenti ne la ghiaccia,","confitte nel ghiaccio fino al punto del corpo in cui la vergogna traspare, "
4320,mettendo i denti in nota di cicogna. ,e battevano i denti con suono simile a quello prodotto dalle cicogne.
4321,Ognuna in giù tenea volta la faccia;,Ognuna teneva il viso volto in basso; 
4322,"da bocca il freddo, e da li occhi il cor tristo",in loro il freddo è testimoniato  dalla bocca
4323,tra lor testimonianza si procaccia. ,e la sofferenza  dagli occhi. 
4324,"Quand’io m’ebbi dintorno alquanto visto,","Dopo aver guardato intorno a me per diverso tempo, "
4325,"volsimi a’ piedi, e vidi due sì stretti,","piegai lo sguardo verso i piedi, e vidi due dannati così avvinti,"
4326,che ’l pel del capo avieno insieme misto. ,che avevano mescolato insieme i capelli del capo. 
4327,"""Ditemi, voi che sì strignete i petti"",","«Ditemi, voi che siete così strettamente congiunti per il petto», "
4328,"diss’io, ""chi siete?"". E quei piegaro i colli;","dissi, «chi siete?». Ed essi piegarono il collo ; "
4329,"e poi ch’ebber li visi a me eretti, ","e dopo aver alzato lo sguardo verso di me,"
4330,"li occhi lor, ch’eran pria pur dentro molli,","i loro occhi, che sotto le palpebre erano bagnati, "
4331,"gocciar su per le labbra, e ’l gelo strinse","lasciarono scorrere il pianto fino alle labbra, "
4332,le lagrime tra essi e riserrolli. ,e il gelo ghiacciò le lacrime tra gli occhi accecandoli. 
4333,Con legno legno spranga mai non cinse,Una spranga non strinse mai un pezzo di legno a un altro 
4334,forte così; ond’ei come due becchi,così saldamente; per cui essi come due montoni 
4335,"cozzaro insieme, tanta ira li vinse. ","cozzarono l’uno contro l’altro, tale fu l’ira che li vinse. "
4336,E un ch’avea perduti ambo li orecchi,E un altro dannato che aveva perduto entrambi gli orecchi 
4337,"per la freddura, pur col viso in giùe,","per il gelo, continuando  a stare con la testa abbassata,"
4338,"disse: ""Perché cotanto in noi ti specchi? ",disse: «Perché ci guardi fisso come se ti specchiassi? 
4339,"Se vuoi saper chi son cotesti due,","Se vuoi sapere chi sono i due,  "
4340,la valle onde Bisenzo si dichina,la valle da cui scende il Bisenzio appartenne 
4341,del padre loro Alberto e di lor fue. ,al loro padre Alberto e a loro stessi. 
4342,D’un corpo usciro; e tutta la Caina,Furono generati dalla stessa madre; 
4343,"potrai cercare, e non troverai ombra","e potrai cercare per tutta la Caina, ma non troverai un’anima "
4344,degna più d’esser fitta in gelatina: ,che meriti più di loro di esser confitta nel ghiaccio : 
4345,non quelli a cui fu rotto il petto e l’ombra,non colui al quale il petto e l’ombra vennero trapassati  
4346,con esso un colpo per la man d’Artù;,con un solo colpo  vibrato dalla mano di Artù; 
4347,non Focaccia; non questi che m’ingombra ,non Focaccia; non costui che m’impedisce la vista 
4348,"col capo sì, ch’i’ non veggio oltre più,","con il suo capo, cosicché io non riesco a vedere più in là, "
4349,e fu nomato Sassol Mascheroni;,e fu chiamato Sassolo Mascheroni; 
4350,"se tosco se’, ben sai omai chi fu. ","se tu sei toscano, sai ormai bene chi sia."
4351,"E perché non mi metti in più sermoni,","E perché tu non mi costringa a far altre parole, "
4352,sappi ch’i’ fu’ il Camiscion de’ Pazzi;,sappi che io fui Camicione de’ Pazzi; 
